question_id,video_id,start,end
Interaction_T1_0,YSKX3,12.1,18.0
Interaction_T1_1,YSKX3,11.8,17.3
Interaction_T1_2,YSKX3,13.0,18.0
Interaction_T1_3,YSKX3,5.4,14.1
Interaction_T1_4,TJZ0P,7.7,15.7
Interaction_T1_5,TJZ0P,6.7,11.5
Interaction_T1_7,B82GJ,17.7,22.5
Interaction_T1_8,DUZDL,1.6,7.8
Interaction_T1_9,DUZDL,31.2,40.1
Interaction_T1_10,DUZDL,23.4,30.6
Interaction_T1_11,DUZDL,1.4,6.4
Interaction_T1_12,DUZDL,0.0,5.2
Interaction_T1_13,6H78U,11.1,19.6
Interaction_T1_14,6H78U,15.6,22.7
Interaction_T1_17,GM3UK,3.0,8.2
Interaction_T1_19,GM3UK,12.0,21.1
Interaction_T1_20,GM3UK,0.0,9.9
Interaction_T1_21,GM3UK,1.4,6.4
Interaction_T1_22,RS6EK,0.0,7.5
Interaction_T1_23,5EEXF,5.9,11.7
Interaction_T1_24,5EEXF,1.0,7.0
Interaction_T1_25,5EEXF,21.6,31.0
Interaction_T1_27,5EEXF,14.6,21.6
Interaction_T1_28,VW4UD,21.3,28.0
Interaction_T1_29,VW4UD,14.7,20.2
Interaction_T1_30,VCYH8,3.1,7.2
Interaction_T1_31,RNLTR,7.3,13.5
Interaction_T1_32,RNLTR,11.6,16.4
Interaction_T1_33,4ALLQ,21.1,26.9
Interaction_T1_34,4ALLQ,21.1,27.3
Interaction_T1_37,ZHRPD,0.0,4.7
Interaction_T1_39,ZHRPD,1.1,10.8
Interaction_T1_40,VNQTH,2.7,9.2
Interaction_T1_42,BQA97,0.4,7.2
Interaction_T1_43,Y79PC,16.9,22.6
Interaction_T1_44,E9UYZ,28.0,33.0
Interaction_T1_45,WXXYY,15.8,20.7
Interaction_T1_46,WXXYY,28.0,36.0
Interaction_T1_49,LSCMZ,2.5,7.9
Interaction_T1_50,LSCMZ,9.5,19.0
Interaction_T1_52,K7Z6T,0.0,8.7
Interaction_T1_53,SJ51G,5.9,13.2
Interaction_T1_54,SJ51G,16.0,21.7
Interaction_T1_56,A7WU3,17.5,23.8
Interaction_T1_58,MZZ8Q,9.7,16.7
Interaction_T1_59,6IL0C,14.2,21.0
